#The Product Types Ontology by E-Business and Web Science Research Group at Bundeswehr University Munich: This ontology contains 300,000 precise definitions for types of product or services that extend the schema.org and GoodRelations standards for e-commerce markup.;Product Ontology is application level ontology
Shower|Shower 
Motorcycle|Motorcycle 
Sago|Sago 
Amenity|Amenity 
Bollard|Bollard 
Isinglass|Isinglass 
Baumkuchen|Baumkuchen 
Toast_Hawaii|Toast Hawaii 
Solar_panel|Solar panel 
Bundt_cake|Bundt cake 
Bun|Bun 
Bread_bowl|Bread bowl 
Schupfnudel|Schupfnudel 
Dinner|Dinner 
Automotive_battery|Automotive battery 
Roulade|Roulade 
Flat_panel_display|Flat panel display 
|Mole (architecture) 
Sapphire|Sapphire 
Finance|Finance 
Schwenker|Schwenker 
Rokpol|Rokpol 
Trumpet|Trumpet 
Bamboo_shoot|Bamboo shoot 
Pest_control|Pest control 
Circuit_breaker|Circuit breaker 
Sofrito|Sofrito 
Heterocyclic_compound|Heterocyclic compound 
Screw_pump|Screw pump 
Hammer|Hammer 
Intel_4004|Intel 4004 
Atomic_battery|Atomic battery 
Gotland_Blue|Gotland Blue 
Saw|Saw 
Cruise_ship|Cruise ship 
Arany_galuska|Arany galuska 
Graph_database|Graph database 
Beer|Beer 
|Copperhead (climbing) 
Fire_extinguisher|Fire extinguisher 
Golf|Golf 
Fluorescent_lamp|Fluorescent lamp 
Mealie_bread|Mealie bread 
Parole|Parole 
Separatory_funnel|Separatory funnel 
Meat_hook|Meat hook 
Breakfast|Breakfast 
Kunik_cheese|Kunik cheese 
Ranch_dressing|Ranch dressing 
Crystal_oscillator|Crystal oscillator 
|Klippan (sofa) 
Award_pin|Award pin 
Stanley_Odd_Jobs|Stanley Odd Jobs 
Car|Car 
Chocolate_brownie|Chocolate brownie 
Torque_wrench|Torque wrench 
Property|Property 
Butter_cake|Butter cake 
Tantalum_capacitor|Tantalum capacitor 
Biryani|Biryani 
Rotary_cutter|Rotary cutter 
Candle|Candle 
Kayak|Kayak 
Bread_roll|Bread roll 
Motorola_68030|Motorola 68030 
Peroxy_acid|Peroxy acid 
Renault|Renault 
Micrometer|Micrometer 
Motel|Motel 
PC_game|PC game 
Exocet|Exocet 
Lawn_mower|Lawn mower 
ISO_14000|ISO 14000 
Cupcake|Cupcake 
Maltose|Maltose 
BBC_Master|BBC Master 
|File (tool) 
Cheddar_cheese|Cheddar cheese 
Sauerbraten|Sauerbraten 
Drawknife|Drawknife 
Kefalograviera|Kefalograviera 
Laser_printer|Laser printer 
Jig_grinder|Jig grinder 
Cummerbund|Cummerbund 
Bonchester_cheese|Bonchester cheese 
Spring_steel|Spring steel 
